Date,RouteID,StopID,ScheduledArrival,ActualArrival,DelayMinutes,PassengerCount,Capacity,LoadFactor,DistanceKM,Weather,AnomalyFlag
2024-01-31,R028,S0008,2024-01-31 21:11:00,2024-01-31 21:13:47.653889940,2.79,63,60,1.05,2.8,Clear,0
2024-02-07,R016,S0028,2024-02-07 13:35:00,2024-02-07 13:32:40.564881180,-2.32,44,50,0.88,9.8,Rain,0
2024-04-14,R015,S0520,2024-04-14 19:17:00,2024-04-14 19:14:36.425588940,-2.39,34,80,0.42,11.79,Clear,0
2024-03-06,R047,S0310,2024-03-06 09:58:00,2024-03-06 10:11:23.882644500,13.4,44,60,0.73,8.99,Clear,0
2024-03-19,R044,S0541,2024-03-19 03:02:00,2024-03-19 03:09:44.653184700,7.74,6,60,0.1,10.62,Clear,0
2024-01-22,R003,S0494,2024-01-22 06:37:00,2024-01-22 06:54:18.164095800,17.3,28,80,0.35,6.75,Clear,0
2024-04-18,R037,S0034,2024-04-18 07:17:00,2024-04-18 07:12:00.000000000,-5.0,23,70,0.33,10.77,Clear,0
2024-03-15,R007,S0007,2024-03-15 10:48:00,2024-03-15 10:43:00.000000000,-5.0,39,60,0.65,4.4,Rain,0
2024-02-23,R021,S0040,2024-02-23 03:43:00,2024-02-23 03:40:41.638714500,-2.31,42,70,0.6,2.0,Clear,0
2024-02-23,R009,S0330,2024-02-23 00:28:00,2024-02-23 00:43:46.107953280,15.77,20,70,0.29,8.26,Clear,0
2024-03-23,R039,S0062,2024-03-23 09:44:00,2024-03-23 09:42:43.757045280,-1.27,56,80,0.7,2.23,Clear,0
2024-01-06,R018,S0086,2024-01-06 04:18:00,2024-01-06 04:39:22.040567820,21.37,46,80,0.57,10.94,Rain,0
2024-03-13,R004,S0116,2024-03-13 12:17:00,2024-03-13 12:16:40.075688640,-0.33,10,60,0.17,4.69,Clear,0
2024-03-02,R025,S0577,2024-03-02 14:29:00,2024-03-02 14:39:50.504377740,10.84,61,70,0.87,2.62,Clear,0
2024-04-17,R014,S0297,2024-04-17 11:03:00,2024-04-17 11:07:44.476083300,4.74,5,70,0.07,8.47,Clear,0
2024-01-29,R050,S0379,2024-01-29 02:33:00,2024-01-29 02:28:00.000000000,-5.0,53,80,0.66,4.56,Rain,0
2024-02-12,R009,S0322,2024-02-12 07:08:00,2024-02-12 07:06:23.966528460,-1.6,39,80,0.49,0.86,Rain,0
2024-03-07,R026,S0395,2024-03-07 21:45:00,2024-03-07 21:54:47.953286100,9.8,40,60,0.67,1.47,Clear,0
2024-04-23,R002,S0357,2024-04-23 12:52:00,2024-04-23 12:56:31.692835200,4.53,37,70,0.53,4.39,Clear,0
2024-04-29,R020,S0562,2024-04-29 00:54:00,2024-04-29 00:54:37.336956540,0.62,46,50,0.92,11.9,Clear,0
2024-04-18,R028,S0419,2024-04-18 10:11:00,2024-04-18 10:14:18.766915740,3.31,30,50,0.6,7.18,Clear,0
2024-03-02,R047,S0478,2024-03-02 00:36:00,2024-03-02 00:42:30.347824860,6.51,31,60,0.52,2.72,Clear,0
2024-01-13,R007,S0336,2024-01-13 17:49:00,2024-01-13 17:44:00.000000000,-5.0,76,80,0.95,10.97,Clear,0
2024-04-20,R044,S0591,2024-04-20 14:48:00,2024-04-20 14:47:25.176747720,-0.58,76,80,0.95,10.35,Fog,0
2024-04-24,R008,S0020,2024-04-24 16:03:00,2024-04-24 15:59:54.636894720,-3.09,36,50,0.72,3.02,Clear,0
2024-03-04,R047,S0412,2024-03-04 18:24:00,2024-03-04 18:35:55.177849500,11.92,60,60,1.0,4.38,Fog,0
2024-02-16,R035,S0549,2024-02-16 15:14:00,2024-02-16 15:26:34.725016980,12.58,28,50,0.56,8.52,Clear,0
2024-02-29,R014,S0259,2024-02-29 10:02:00,2024-02-29 10:08:41.889088500,6.7,41,50,0.82,11.86,Clear,0
2024-01-15,R017,S0357,2024-01-15 08:03:00,2024-01-15 08:09:08.009044980,6.13,64,80,0.8,1.87,Clear,0
2024-01-05,R036,S0201,2024-01-05 10:20:00,2024-01-05 10:15:00.000000000,-5.0,23,50,0.46,6.39,Clear,0
2024-03-09,R050,S0411,2024-03-09 15:47:00,2024-03-09 15:42:54.762767580,-4.09,40,60,0.67,2.36,Clear,0
2024-01-02,R040,S0288,2024-01-02 11:12:00,2024-01-02 11:13:27.935972580,1.47,33,70,0.47,7.04,Clear,0
2024-04-23,R004,S0048,2024-04-23 16:09:00,2024-04-23 16:12:54.419695440,3.91,32,70,0.46,5.75,Clear,0
2024-02-07,R002,S0558,2024-02-07 07:20:00,2024-02-07 07:24:56.925537900,4.95,62,80,0.78,10.83,Rain,0
2024-04-23,R006,S0370,2024-04-23 01:35:00,2024-04-23 01:30:00.000000000,-5.0,29,70,0.41,9.8,Clear,0
2024-04-03,R042,S0231,2024-04-03 16:33:00,2024-04-03 16:47:45.071793300,14.75,45,50,0.9,3.04,Clear,0
2024-02-23,R004,S0095,2024-02-23 03:08:00,2024-02-23 03:03:00.000000000,-5.0,19,60,0.32,1.64,Rain,0
2024-04-01,R029,S0303,2024-04-01 16:30:00,2024-04-01 16:25:00.000000000,-5.0,11,70,0.16,7.7,Clear,0
2024-02-08,R018,S0218,2024-02-08 00:12:00,2024-02-08 00:24:50.097831120,12.83,13,80,0.16,2.81,Rain,0
2024-04-05,R026,S0552,2024-04-05 20:31:00,2024-04-05 20:26:52.528255740,-4.12,33,80,0.41,8.82,Fog,0
2024-01-20,R044,S0387,2024-01-20 21:27:00,2024-01-20 21:38:55.284717360,11.92,13,80,0.16,3.34,Clear,0
2024-01-20,R034,S0091,2024-01-20 17:09:00,2024-01-20 17:04:00.000000000,-5.0,35,60,0.58,6.01,Clear,0
2024-01-29,R010,S0058,2024-01-29 05:44:00,2024-01-29 05:44:56.957797740,0.95,16,70,0.23,10.81,Clear,0
2024-02-04,R036,S0434,2024-02-04 13:34:00,2024-02-04 13:29:21.623543940,-4.64,62,60,1.03,2.26,Rain,0
2024-02-01,R014,S0522,2024-02-01 11:34:00,2024-02-01 11:42:55.702967520,8.93,45,50,0.9,2.36,Rain,0
2024-01-17,R031,S0483,2024-01-17 09:56:00,2024-01-17 09:52:05.742862920,-3.9,15,80,0.19,11.45,Clear,0
2024-04-25,R048,S0367,2024-04-25 07:19:00,2024-04-25 07:27:55.841242860,42.28,7,80,0.09,2.16,Rain,1
2024-02-20,R015,S0407,2024-02-20 13:40:00,2024-02-20 13:40:46.011107640,0.77,63,50,1.26,9.85,Rain,0
2024-01-08,R008,S0518,2024-01-08 04:59:00,2024-01-08 04:57:25.453915980,-1.58,28,50,0.56,9.9,Clear,0
2024-01-21,R014,S0331,2024-01-21 14:02:00,2024-01-21 14:15:59.584836420,13.99,5,70,0.07,7.84,Rain,0
2024-01-23,R023,S0235,2024-01-23 15:37:00,2024-01-23 16:01:32.174762040,24.54,11,50,0.22,2.15,Clear,0
2024-04-24,R040,S0411,2024-04-24 21:01:00,2024-04-24 21:02:21.042323160,1.35,37,50,0.74,5.24,Rain,0
2024-02-20,R021,S0183,2024-02-20 18:24:00,2024-02-20 18:21:15.873652800,-2.74,9,80,0.11,8.61,Clear,0
2024-03-31,R016,S0287,2024-03-31 09:50:00,2024-03-31 09:53:36.736771500,3.61,65,80,0.81,11.8,Clear,0
2024-01-06,R045,S0123,2024-01-06 16:59:00,2024-01-06 17:05:04.652385540,6.08,67,60,1.12,0.82,Rain,0
2024-02-21,R018,S0158,2024-02-21 08:11:00,2024-02-21 08:06:00.000000000,-5.0,43,60,0.72,4.85,Clear,0
2024-01-08,R047,S0323,2024-01-08 06:21:00,2024-01-08 06:16:00.000000000,-5.0,65,70,0.93,1.93,Storm,0
2024-04-08,R024,S0013,2024-04-08 01:23:00,2024-04-08 01:18:00.000000000,-5.0,60,70,0.86,2.7,Clear,0
2024-03-09,R026,S0566,2024-03-09 03:18:00,2024-03-09 03:13:00.000000000,-5.0,14,70,0.2,9.82,Clear,0
2024-02-02,R025,S0555,2024-02-02 20:06:00,2024-02-02 20:25:31.371589499,19.52,35,70,0.5,9.2,Clear,0
2024-03-02,R045,S0563,2024-03-02 05:48:00,2024-03-02 05:43:00.000000000,30.59,50,80,0.62,11.2,Rain,1
2024-03-05,R041,S0204,2024-03-05 19:03:00,2024-03-05 19:11:43.544808480,8.73,28,60,0.47,7.77,Clear,0
2024-03-03,R029,S0302,2024-03-03 18:43:00,2024-03-03 18:44:17.804266740,25.83,73,50,1.46,1.91,Clear,1
2024-03-28,R015,S0043,2024-03-28 16:11:00,2024-03-28 16:18:26.077417440,7.43,72,60,1.2,5.94,Clear,0
2024-02-01,R045,S0597,2024-02-01 17:34:00,2024-02-01 17:29:00.000000000,-5.0,35,70,0.5,2.05,Clear,0
2024-02-24,R001,S0506,2024-02-24 04:17:00,2024-02-24 04:17:23.895483300,40.34,57,80,0.71,8.81,Fog,1
2024-02-02,R025,S0191,2024-02-02 02:34:00,2024-02-02 02:51:14.233685580,17.24,35,70,0.5,2.86,Fog,0
2024-02-07,R007,S0060,2024-02-07 07:34:00,2024-02-07 07:34:27.364615740,0.46,38,60,0.63,2.56,Clear,0
2024-01-02,R009,S0466,2024-01-02 06:44:00,2024-01-02 07:03:05.945263020,19.1,26,80,0.32,11.83,Rain,0
2024-04-17,R024,S0379,2024-04-17 21:49:00,2024-04-17 21:44:00.000000000,-5.0,77,60,1.28,8.38,Clear,0
2024-03-21,R001,S0429,2024-03-21 21:17:00,2024-03-21 21:27:23.460917760,10.39,45,70,0.64,1.05,Clear,0
2024-01-10,R044,S0062,2024-01-10 05:47:00,2024-01-10 05:52:25.089233940,5.42,52,70,0.74,2.47,Rain,0
2024-04-10,R008,S0302,2024-04-10 21:38:00,2024-04-10 21:33:00.000000000,-5.0,54,70,0.77,4.15,Clear,0
2024-04-10,R024,S0172,2024-04-10 13:32:00,2024-04-10 13:46:09.578120700,14.16,28,80,0.35,5.62,Fog,0
2024-03-06,R011,S0505,2024-03-06 21:33:00,2024-03-06 21:30:30.751158000,-2.49,6,60,0.1,3.67,Clear,0
2024-03-16,R017,S0063,2024-03-16 00:44:00,2024-03-16 00:51:18.816378000,7.31,69,50,1.38,3.12,Rain,0
2024-04-10,R008,S0016,2024-04-10 06:22:00,2024-04-10 06:17:07.865161020,-4.87,25,70,0.36,1.4,Clear,0
2024-04-03,R035,S0101,2024-04-03 09:21:00,2024-04-03 09:20:53.893985940,-0.1,35,80,0.44,11.64,Fog,0
2024-01-15,R035,S0176,2024-01-15 17:09:00,2024-01-15 17:21:03.297766080,12.05,60,60,1.0,1.77,Clear,0
2024-03-27,R033,S0193,2024-03-27 16:25:00,2024-03-27 16:53:31.424873100,28.52,48,70,0.69,8.03,Clear,0
2024-04-25,R005,S0273,2024-04-25 06:57:00,2024-04-25 06:53:01.299618600,-3.98,61,60,1.02,7.28,Clear,0
2024-03-22,R042,S0467,2024-03-22 03:25:00,2024-03-22 03:42:29.660880420,17.49,61,70,0.87,11.38,Clear,0
2024-03-01,R039,S0175,2024-03-01 11:42:00,2024-03-01 12:00:24.002704440,18.4,6,70,0.09,11.04,Rain,0
2024-01-31,R041,S0234,2024-01-31 17:27:00,2024-01-31 17:38:22.627044120,11.38,23,80,0.29,7.61,Clear,0
2024-04-26,R028,S0216,2024-04-26 08:07:00,2024-04-26 08:19:40.397049060,12.67,7,60,0.12,2.98,Clear,0
2024-02-07,R007,S0491,2024-02-07 10:36:00,2024-02-07 10:33:55.650297240,-2.07,6,80,0.08,7.13,Clear,0
2024-01-29,R009,S0417,2024-01-29 20:34:00,2024-01-29 20:29:18.334775820,-4.69,6,50,0.12,6.44,Clear,0
2024-04-29,R008,S0533,2024-04-29 03:28:00,2024-04-29 03:28:16.204117380,0.27,15,70,0.21,2.61,Rain,0
2024-03-18,R012,S0451,2024-03-18 10:40:00,2024-03-18 10:47:40.017121200,7.67,30,60,0.5,10.38,Clear,0
2024-02-12,R034,S0280,2024-02-12 07:22:00,2024-02-12 07:23:59.187287160,1.99,61,60,1.02,0.87,Clear,0
2024-04-13,R033,S0244,2024-04-13 01:01:00,2024-04-13 00:58:31.807835400,-2.47,67,80,0.84,8.5,Clear,0
2024-01-23,R048,S0146,2024-01-23 20:11:00,2024-01-23 20:08:58.378596900,-2.03,53,70,0.76,10.11,Rain,0
2024-01-25,R023,S0067,2024-01-25 21:29:00,2024-01-25 21:30:57.551837160,1.96,57,80,0.71,0.64,Rain,0
2024-04-14,R024,S0103,2024-04-14 12:23:00,2024-04-14 12:36:36.107746200,13.6,69,80,0.86,3.03,Clear,0
2024-04-11,R037,S0310,2024-04-11 16:29:00,2024-04-11 16:24:00.000000000,-5.0,44,80,0.55,3.95,Rain,0
2024-01-28,R035,S0117,2024-01-28 01:38:00,2024-01-28 01:48:39.657194400,10.66,32,60,0.53,3.76,Rain,0
2024-04-08,R044,S0472,2024-04-08 15:42:00,2024-04-08 15:52:15.030126539,10.25,66,50,1.32,1.99,Storm,0
2024-04-03,R040,S0321,2024-04-03 01:46:00,2024-04-03 01:45:46.509152400,-0.22,11,70,0.16,8.53,Clear,0
2024-03-31,R022,S0435,2024-03-31 19:44:00,2024-03-31 19:51:57.555658140,7.96,75,50,1.5,5.2,Clear,0
2024-03-12,R027,S0370,2024-03-12 02:57:00,2024-03-12 03:13:51.808277520,16.86,41,80,0.51,1.52,Clear,0
2024-04-21,R035,S0187,2024-04-21 10:11:00,2024-04-21 10:12:45.469519860,1.76,55,60,0.92,5.71,Storm,0
2024-03-23,R001,S0588,2024-03-23 07:48:00,2024-03-23 07:45:16.615214280,-2.72,47,60,0.78,8.5,Clear,0
2024-01-01,R035,S0469,2024-01-01 03:40:00,2024-01-01 03:35:22.651690980,-4.62,33,60,0.55,4.9,Clear,0
2024-04-18,R037,S0473,2024-04-18 03:38:00,2024-04-18 03:34:33.000316680,-3.45,68,50,1.36,0.76,Rain,0
2024-04-17,R047,S0556,2024-04-17 03:10:00,2024-04-17 03:22:54.484472160,12.91,10,70,0.14,11.93,Rain,0
2024-01-20,R014,S0454,2024-01-20 13:05:00,2024-01-20 13:09:25.725470640,4.43,55,60,0.92,3.6,Fog,0
2024-04-03,R003,S0446,2024-04-03 21:33:00,2024-04-03 21:28:00.000000000,-5.0,10,80,0.12,7.24,Fog,0
2024-01-29,R001,S0094,2024-01-29 07:55:00,2024-01-29 08:12:32.859810239,17.55,8,70,0.11,10.03,Rain,0
2024-01-08,R005,S0038,2024-01-08 00:53:00,2024-01-08 00:56:11.633856540,3.19,18,60,0.3,10.85,Clear,0
2024-03-02,R026,S0482,2024-03-02 19:26:00,2024-03-02 19:35:48.057951720,9.8,47,60,0.78,9.58,Clear,0
2024-01-14,R014,S0111,2024-01-14 18:53:00,2024-01-14 19:04:00.927312180,11.02,43,50,0.86,5.33,Clear,0
2024-02-07,R039,S0410,2024-02-07 10:36:00,2024-02-07 10:32:39.502999620,-3.34,42,60,0.7,8.16,Clear,0
2024-01-03,R027,S0168,2024-01-03 00:33:00,2024-01-03 00:28:00.000000000,-5.0,58,50,1.16,11.13,Clear,0
2024-01-03,R009,S0566,2024-01-03 03:03:00,2024-01-03 02:58:19.859508000,-4.67,23,80,0.29,10.47,Rain,0
2024-02-24,R015,S0397,2024-02-24 14:04:00,2024-02-24 14:07:02.948055300,3.05,23,50,0.46,2.69,Clear,0
2024-03-18,R015,S0127,2024-03-18 16:53:00,2024-03-18 17:02:22.532711460,24.62,15,60,0.25,11.85,Rain,1
2024-01-21,R026,S0042,2024-01-21 13:42:00,2024-01-21 14:05:38.045730300,23.63,58,50,1.16,1.69,Clear,0
2024-02-04,R042,S0041,2024-02-04 14:37:00,2024-02-04 14:50:58.655912400,13.98,18,60,0.3,11.67,Clear,0
2024-02-13,R013,S0562,2024-02-13 20:45:00,2024-02-13 20:40:00.000000000,-5.0,60,60,1.0,10.49,Clear,0
2024-02-13,R032,S0487,2024-02-13 17:17:00,2024-02-13 17:20:28.497477960,3.47,49,70,0.7,2.66,Rain,0
2024-04-22,R039,S0399,2024-04-22 09:19:00,2024-04-22 09:14:00.000000000,-5.0,16,80,0.2,8.3,Clear,0
2024-02-12,R049,S0182,2024-02-12 11:22:00,2024-02-12 11:36:36.296368380,14.6,49,60,0.82,10.92,Rain,0
2024-02-10,R032,S0181,2024-02-10 11:44:00,2024-02-10 11:47:00.486950520,3.01,62,50,1.24,6.11,Rain,0
2024-01-27,R004,S0464,2024-01-27 14:06:00,2024-01-27 14:11:21.184194000,5.35,69,60,1.15,4.01,Storm,0
2024-04-01,R030,S0050,2024-04-01 04:04:00,2024-04-01 04:06:38.244937380,2.64,28,60,0.47,8.93,Fog,0
2024-01-28,R037,S0408,2024-01-28 15:26:00,2024-01-28 15:31:45.326822280,5.76,79,70,1.13,9.84,Clear,0
2024-01-05,R023,S0401,2024-01-05 12:50:00,2024-01-05 12:48:08.617176180,-1.86,55,60,0.92,1.88,Clear,0
2024-02-12,R039,S0146,2024-02-12 07:59:00,2024-02-12 08:04:58.918846620,5.98,30,50,0.6,6.2,Clear,0
2024-03-03,R045,S0298,2024-03-03 18:34:00,2024-03-03 18:29:29.917022221,-4.5,41,50,0.82,2.74,Clear,0
2024-02-08,R015,S0145,2024-02-08 03:08:00,2024-02-08 03:15:54.578516340,7.91,52,80,0.65,8.04,Clear,0
2024-01-10,R043,S0016,2024-01-10 12:37:00,2024-01-10 12:44:42.323634060,7.71,38,80,0.48,11.4,Clear,0
2024-03-03,R029,S0085,2024-03-03 03:42:00,2024-03-03 03:51:47.039499000,9.78,33,70,0.47,8.79,Clear,0
2024-01-09,R036,S0216,2024-01-09 07:04:00,2024-01-09 07:08:00.587990400,4.01,30,70,0.43,9.25,Clear,0
2024-03-24,R013,S0482,2024-03-24 03:29:00,2024-03-24 03:44:23.445208440,15.39,65,80,0.81,8.52,Clear,0
2024-04-02,R032,S0052,2024-04-02 11:59:00,2024-04-02 12:22:11.127922920,23.19,33,50,0.66,10.65,Clear,0
2024-04-20,R007,S0548,2024-04-20 06:20:00,2024-04-20 06:15:00.000000000,-5.0,28,50,0.56,7.4,Clear,0
2024-01-29,R022,S0107,2024-01-29 13:45:00,2024-01-29 13:40:00.000000000,-5.0,12,70,0.17,0.84,Clear,0
2024-01-28,R028,S0219,2024-01-28 03:19:00,2024-01-28 03:22:17.441544900,3.29,12,80,0.15,4.2,Clear,0
2024-01-11,R002,S0337,2024-01-11 06:08:00,2024-01-11 06:08:28.824054180,0.48,41,70,0.59,9.67,Fog,0
2024-03-25,R042,S0371,2024-03-25 09:11:00,2024-03-25 09:20:44.991294600,47.84,10,50,0.2,5.09,Clear,1
2024-04-08,R045,S0254,2024-04-08 06:29:00,2024-04-08 06:38:45.259392960,9.75,63,50,1.26,3.9,Clear,0
2024-03-27,R006,S0405,2024-03-27 16:05:00,2024-03-27 16:12:59.859258300,8.0,76,50,1.52,5.87,Clear,0
2024-04-02,R028,S0580,2024-04-02 16:37:00,2024-04-02 16:32:00.000000000,-5.0,7,50,0.14,7.51,Rain,0
2024-01-15,R028,S0030,2024-01-15 00:30:00,2024-01-15 00:36:57.743029140,6.96,55,50,1.1,6.97,Clear,0
2024-03-21,R044,S0185,2024-03-21 10:28:00,2024-03-21 10:51:31.146596219,23.52,12,70,0.17,0.64,Clear,0
2024-01-24,R044,S0289,2024-01-24 10:15:00,2024-01-24 10:25:09.820357440,10.16,53,60,0.88,7.71,Rain,0
2024-02-04,R020,S0359,2024-02-04 03:13:00,2024-02-04 03:17:20.117657460,4.34,42,80,0.52,8.23,Rain,0
2024-03-01,R030,S0474,2024-03-01 06:04:00,2024-03-01 06:15:10.865918520,11.18,60,60,1.0,4.55,Clear,0
2024-01-20,R011,S0565,2024-01-20 02:57:00,2024-01-20 02:53:21.099808320,-3.65,50,50,1.0,3.13,Clear,0
2024-02-27,R028,S0400,2024-02-27 09:56:00,2024-02-27 10:05:10.508937060,9.18,24,70,0.34,4.23,Clear,0
2024-03-03,R025,S0133,2024-03-03 12:35:00,2024-03-03 12:39:47.323373580,26.48,65,60,1.08,6.77,Clear,1
2024-04-09,R039,S0502,2024-04-09 10:22:00,2024-04-09 10:17:00.000000000,-5.0,30,80,0.38,5.4,Fog,0
2024-03-15,R033,S0503,2024-03-15 01:43:00,2024-03-15 01:50:27.399857400,7.46,59,50,1.18,6.49,Fog,0
2024-04-28,R001,S0077,2024-04-28 18:26:00,2024-04-28 18:31:26.392713240,5.44,48,70,0.69,6.2,Clear,0
2024-04-03,R027,S0350,2024-04-03 15:33:00,2024-04-03 15:46:04.413563700,13.07,52,50,1.04,8.74,Clear,0
2024-02-29,R013,S0060,2024-02-29 20:14:00,2024-02-29 20:20:19.835434500,6.33,18,70,0.26,8.75,Clear,0
2024-02-08,R041,S0455,2024-02-08 06:37:00,2024-02-08 06:44:03.830698140,7.06,70,80,0.88,5.41,Rain,0
2024-01-20,R003,S0465,2024-01-20 02:06:00,2024-01-20 02:12:29.185004280,6.49,60,50,1.2,2.35,Clear,0
2024-03-26,R039,S0311,2024-03-26 11:58:00,2024-03-26 12:04:20.216213940,28.07,42,60,0.7,7.95,Clear,1
2024-03-28,R006,S0091,2024-03-28 03:15:00,2024-03-28 03:31:23.613834000,16.39,52,50,1.04,2.99,Clear,0
2024-02-27,R008,S0298,2024-02-27 07:21:00,2024-02-27 07:33:09.693546480,36.67,30,50,0.6,4.2,Rain,1
2024-03-04,R027,S0325,2024-03-04 02:38:00,2024-03-04 02:33:37.201130880,-4.38,15,50,0.3,5.84,Clear,0
2024-01-14,R009,S0280,2024-01-14 15:26:00,2024-01-14 15:29:44.644709040,43.28,23,80,0.29,1.06,Rain,1
2024-02-05,R037,S0118,2024-02-05 15:16:00,2024-02-05 15:11:00.000000000,-5.0,26,50,0.52,6.91,Clear,0
2024-01-13,R033,S0567,2024-01-13 04:59:00,2024-01-13 05:18:54.711177720,19.91,37,70,0.53,4.67,Storm,0
2024-01-01,R042,S0271,2024-01-01 17:38:00,2024-01-01 17:36:02.023027980,-1.97,36,50,0.72,10.31,Clear,0
2024-04-28,R044,S0517,2024-04-28 18:51:00,2024-04-28 18:48:23.635828560,-2.61,22,60,0.37,1.59,Clear,0
2024-04-23,R024,S0101,2024-04-23 01:09:00,2024-04-23 01:32:15.274504140,23.25,73,80,0.91,5.78,Rain,0
2024-03-31,R015,S0388,2024-03-31 06:19:00,2024-03-31 06:18:02.352005700,-0.96,15,80,0.19,4.82,Clear,0
2024-01-13,R032,S0286,2024-01-13 03:55:00,2024-01-13 03:50:30.063487560,-4.5,24,50,0.48,10.47,Clear,0
2024-02-04,R032,S0053,2024-02-04 10:46:00,2024-02-04 10:57:35.135903760,11.59,43,50,0.86,10.75,Fog,0
2024-01-08,R024,S0240,2024-01-08 00:27:00,2024-01-08 00:31:54.677807460,4.91,60,70,0.86,4.24,Clear,0
2024-01-18,R041,S0214,2024-01-18 04:54:00,2024-01-18 04:50:03.510092640,-3.94,78,60,1.3,9.05,Clear,0
2024-02-03,R049,S0361,2024-02-03 00:46:00,2024-02-03 00:54:22.016282580,8.37,55,70,0.79,1.52,Clear,0
2024-02-21,R049,S0364,2024-02-21 19:58:00,2024-02-21 20:09:16.309222920,11.27,76,70,1.09,10.84,Clear,0
2024-03-10,R012,S0327,2024-03-10 16:36:00,2024-03-10 16:49:37.890616080,13.63,23,80,0.29,5.43,Fog,0
